/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	43	module_export		return ty		return ty
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	61	module_export		return id		return id
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	69	module_export			return first			return first
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	72	module_export		return p		return p
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	411	module_export		return ecs_max_component_id		return ecs_max_component_id
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	416	module_export		return ecs_max_tag_id		return ecs_max_tag_id
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	449	module_export				return id				return id
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	495	module_export			return nil			return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	498	module_export		return r		return r
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	506	module_export				return nil				return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	509	module_export				return nil				return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	512	module_export		return r		return r
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	523	module_export				return nil				return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	526	module_export		return r		return r
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	538	module_export				return nil				return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	542	module_export		return nil		return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	553	module_export			return entity			return entity
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	565	module_export		return current		return current
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	580	module_export			return id			return id
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	593	module_export		return id		return id
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	612	module_export				return false				return false
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	620	module_export					return false					return false
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	625	module_export		return true		return true
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	631	module_export			return nil			return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	713	module_export		return length		return length
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	724	module_export		return record		return record
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	749	module_export			return nil			return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	759	module_export			return nil			return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	764	module_export			return nil			return nil
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	773	module_export			return va			return va
/Users/tatsheen/claw-repos/oss-index/roblox/jecs/src/jecs.luau	788	module_export			return false			return false
